artist_searched,artist,track_name,album,release_date,popularity,duration_ms,explicit,track_id
three days grace,Three Days Grace,I Hate Everything About You,Three Days Grace,2003-04-19,,231480,False,0M955bMOoilikPXwKLYpoi
finger eleven,Finger Eleven,Slow Chemical,Greatest Hits,2023-06-16,,198346,False,5kkFgrqzq4WV46z9d1hT16
finger eleven,Finger Eleven,Paralyzer,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,,208106,False,28IEbk5a7twNTbUEvWslUb
finger eleven,Finger Eleven,Slow Chemical,The Punisher: The Album,2004-01-01,,198360,False,2h5Kce0Vt3PWgMYkYuUL3E
finger eleven,Finger Eleven,Stay In Shadow,Finger Eleven,2003-01-01,,195306,False,39PdBpq5GtrgNWlgNxPzuw
finger eleven,Finger Eleven,Living In A Dream,Life Turns Electric (BonusTrack Version),2010-10-05,,184773,False,2HaUEu0wAO5AOT0UB3i0LO
finger eleven,Five Finger Death Punch,Wrong Side of Heaven,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",2013-07-26,,271000,True,11Ojp7JniVvwd0gmgvyKkd
finger eleven,Five Finger Death Punch,Wash It All Away,Got Your Six,2015-09-04,,224906,False,5nRBTzF9dLIlNqnl0xWo9g
finger eleven,Five Finger Death Punch,Bad Company,War is the Answer,2009-09-22,,262440,True,1UWGkn34CD31VQfdi4D8Zp
avenged sevenfold,Avenged Sevenfold,A Little Piece of Heaven,Avenged Sevenfold,2007-10-26,,480706,True,1BLfQ6dPXmuDrFmbdfW7Jl
avenged sevenfold,Avenged Sevenfold,Afterlife,Avenged Sevenfold,2007-10-26,,352426,False,7zAt4tdL44D3VuzsvM0N8n
avenged sevenfold,Avenged Sevenfold,Hail to the King,Hail to the King,2013-08-23,,305906,False,5anCkDvJ17aznvK5TED5uo
avenged sevenfold,Avenged Sevenfold,Nightmare,Nightmare,2010-07-25,,374453,True,4UEo1b0wWrtHMC8bVqPiH8
avenged sevenfold,Avenged Sevenfold,So Far Away,Nightmare,2010-07-25,,326813,False,7Hr1Ignop7cymbE3FbOtXa
the strokes,The Strokes,The Adults Are Talking,The New Abnormal,2020-04-10,,309053,False,5ruzrDWcT0vuJIOMW7gMnW
the strokes,The Strokes,Last Nite,Is This It,2001-07-30,,193506,False,7kzKAuUzOITUauHAhoMoxA
the strokes,The Strokes,Selfless,The New Abnormal,2020-04-10,,222093,False,2t0wwvR15fc3K1ey8OiOaN
the strokes,The Strokes,Reptilia,Room On Fire,2003-10-28,,219826,False,57Xjny5yNzAcsxnusKmAfA
the strokes,The Strokes,Ode To The Mets,The New Abnormal,2020-04-10,,351786,True,1BLOVHYYlH4JUHQGcpt75R
